NSC,Log10HiConc,ConcUnit,Flag,Log10IC50,NumExp,StdDev                           
6,-4,M,=,-5.7,2,0                                                               
6,-3.7,M,=,-4.43,4,.62                                                          
48,-3.7,M,=,-4.61,3,.02                                                         
78,-3.7,M,=,-4.02,3,.09                                                         
128,-3.7,M,=,-4.34,4,.06                                                        
164,-3.7,M,>,-3.7,2,0                                                           
180,-2.7,M,=,-3.16,2,.07                                                        
186,-3.8,M,=,-4.6,2,.02                                                         
192,-3.7,M,=,-5.47,2,.02                                                        
210,-2.9,M,>,-2.88,2,0                                                          
211,-3.7,M,>,-3.7,8,0                                                           
211,-2.7,M,=,-2.95,2,.04                                                        
213,-3.7,M,>,-3.7,4,0                                                           
220,-3.7,M,>,-3.7,4,0                                                           
229,-3.7,M,>,-3.7,2,0                                                           
256,-3.7,M,>,-3.7,4,0                                                           
258,-3.7,M,=,-4,6,.18                                                           
262,-3.8,M,>,-3.85,2,.06                                                        
416,-3.7,M,>,-3.82,3,.21                                                        
439,-3.7,M,>,-3.7,1,0                                                           
453,-3.7,M,>,-3.7,2,0                                                           
473,-3.7,M,>,-3.7,2,0                                                           
497,-3.7,M,>,-3.7,3,0                                                           
500,-4.1,M,>,-4.13,1,0                                                          
521,-4.3,M,>,-4.3,1,0                                                           
546,-3.7,M,>,-3.7,3,0                                                           
626,-4.1,M,=,-4.86,2,.01                                                        
671,-3.7,M,>,-3.7,2,0                                                           
679,-4.6,M,>,-4.56,2,0                                                          
680,-2.7,M,>,-2.93,2,.35                                                        
737,-5.7,M,=,-6.4,2,.06                                                         
737,-3.7,M,=,-6.56,4,.21                                                        
740,-5.8,M,=,-8.43,2,.04                                                        
740,-3.8,M,<,-7.32,2,0                                                          
742,-3.7,M,=,-5.54,2,.1                                                         
749,-4,M,=,-6.52,2,.08                                                          
750,-3.7,M,>,-3.69,2,0                                                          
752,-4.2,M,=,-6.02,2,.12                                                        
755,-3.6,M,=,-5.82,1,0                                                          
763,-3.7,M,>,-3.7,2,0                                                           
779,-3.7,M,>,-3.7,4,0                                                           
788,-3.7,M,>,-3.7,3,0                                                           
838,-3.7,M,>,-3.7,3,0                                                           
839,-3.7,M,>,-3.7,4,0                                                           
989,-3.7,M,=,-4.85,5,.23                                                        
992,-4.7,M,=,-5.47,2,.05                                                        
994,-4.7,M,=,-5.45,2,.02                                                        
995,-3.7,M,>,-3.7,2,0                                                           
1026,-3.1,M,>,-3.14,2,0                                                         
1027,-3.7,M,=,-5.28,2,.11                                                       
1088,-3.7,M,>,-3.7,2,0                                                          
1104,-3.7,M,>,-3.7,2,0                                                          
1115,-3.7,M,>,-3.7,2,0                                                          
1116,-3.7,M,>,-3.71,2,.02                                                       
1118,-3.7,M,>,-3.7,2,0                                                          
1122,-3.7,M,>,-3.7,1,0                                                          
1124,-3.7,M,=,-4.77,3,.16                                                       
1126,-3.7,M,>,-3.7,2,0                                                          
1128,-3.7,M,>,-3.7,2,0                                                          
1135,-3.7,M,>,-3.7,2,0                                                          
1163,-3.7,M,>,-3.7,2,0                                                          
1168,-3.7,M,>,-3.7,2,0                                                          
1175,-3.7,M,=,-4.36,2,.02                                                       
1183,-3.7,M,>,-3.7,2,0                                                          
1185,-3.7,M,>,-3.7,2,0                                                          
1231,-3.8,M,>,-3.77,2,0                                                         
1249,-3.7,M,=,-3.84,4,.12                                                       
1296,-3.7,M,>,-3.7,4,0                                                          
1339,-3.7,M,=,-5.16,1,0                                                         
1347,-3.7,M,=,-5.35,4,.17                                                       
1356,-3.7,M,>,-3.7,4,0                                                          
1362,-3.7,M,=,-4.91,2,.05                                                       
1364,-3.7,M,>,-3.7,1,0                                                          
1386,-3.7,M,>,-3.7,4,0                                                          
1390,-3.7,M,>,-3.7,2,0                                                          
1468,-3.7,M,=,-4.68,4,.08                                                       
1541,-3.7,M,>,-3.7,1,0                                                          
1541,-3,M,=,-3.82,4,.02                                                         
1543,-3.9,M,=,-4.61,2,0                                                         
1570,-3.7,M,=,-4.13,2,.05                                                       
1736,-3.1,M,=,-4.4,1,0                                                          
1756,-3.7,M,>,-3.7,4,0                                                          
1757,-3.7,M,>,-3.7,4,0                                                          
1771,-4.7,M,=,-5.97,2,.15                                                       
1771,-3.7,M,=,-6.33,1,0                                                         
1778,-3.7,M,>,-3.7,2,0                                                          
1816,-3.7,M,=,-4.56,1,0                                                         
1895,-2.6,M,=,-3.55,2,0                                                         
1898,-3.7,M,>,-3.7,2,0                                                          
1899,-2.7,M,=,-3.1,2,.05                                                        
1906,-5.7,M,=,-5.78,1,0                                                         
1906,-3.7,M,=,-3.75,1,0                                                         
1937,-3.7,M,>,-3.7,1,0                                                          
1986,-3.7,M,>,-3.7,2,0                                                          
2018,-3.7,M,=,-4.4,2,.05                                                        
2035,-3.7,M,=,-5.08,4,.25                                                       
2069,-3.7,M,>,-3.7,2,0                                                          
2087,-3.7,M,=,-4.45,2,.01                                                       
2101,-3.7,M,>,-3.7,2,0                                                          
2184,-3.7,M,>,-3.7,2,0                                                          
2203,-3.7,M,>,-3.7,2,0                                                          
2253,-3.7,M,>,-3.7,2,0                                                          
2339,-4.3,M,>,-4.3,2,0                                                          
2382,-3.4,M,=,-4.1,2,.02                                                        
2384,-3.7,M,=,-5.09,1,0                                                         
2389,-4,M,>,-4,2,0                                                              
2441,-3.7,M,>,-3.82,2,.18                                                       
2452,-3.2,M,=,-4.71,4,.17                                                       
2483,2.4,u,=,2.14,2,.19                                                         
2520,-3.2,M,>,-3.17,2,0                                                         
2537,-3.7,M,=,-4.11,2,.02                                                       
2539,-3.7,M,=,-4.25,2,.04                                                       
2608,-3.7,M,>,-4.08,4,.44                                                       
2619,-3.7,M,>,-3.7,2,0                                                          
2667,-3.7,M,>,-3.7,2,0                                                          
2678,-3.7,M,>,-3.7,2,0                                                          
2687,-3.7,M,>,-3.7,2,0                                                          
2689,-3.7,M,=,-5.25,1,0                                                         
2705,-3.7,M,>,-3.7,2,0                                                          
2709,-3.7,M,>,-3.7,2,0                                                          
2713,-3.7,M,>,-3.7,2,0                                                          
2726,-3.7,M,>,-3.7,2,0                                                          
2738,-3.7,M,>,-3.7,2,0                                                          
2741,-3.7,M,>,-3.7,2,0                                                          
2743,-3.7,M,>,-3.7,2,0                                                          
2750,-3.7,M,>,-3.7,2,0                                                          
2760,-4,M,>,-4,2,0                                                              
2761,-3.7,M,>,-3.7,2,0                                                          
2765,-3.3,M,>,-3.32,2,0                                                         
2771,-3.7,M,>,-3.7,2,0                                                          
2775,-5.7,M,=,-5.95,2,.01                                                       
2775,-3.7,M,=,-6.49,2,.08                                                       
2788,-3.7,M,>,-4.05,2,.5                                                        
2798,-3.7,M,>,-3.7,2,0                                                          
2801,-3.7,M,>,-3.7,3,0                                                          
2833,-3.7,M,>,-3.7,2,0                                                          
2858,-2.7,M,>,-2.67,2,0                                                         
2917,-3.7,M,>,-3.7,2,0                                                          
2918,-3.7,M,>,-3.7,2,0                                                          
2963,-3.7,M,>,-3.9,3,.35                                                        
